team;Nombre_matchs;Nombre_victoires;Somme_cotes_si_victoires;Somme_cotes_si_victoires_retire_marge;Somme_cotes_toutes;Somme_cotes_toutes_retire_marge;ROI_pourcent;ROI_pourcent_retire_marge;Indice_de_retour;Indice_de_retour_retire_marge;Cote_moyenne_tous_matchs;Cote_moyenne_tous_matchs_retire_marge;Taux_de_victoire;Marge_bookmaker_assumee_%
Ajaccio;38;7;34.26;36.3156;238.37;252.6722;-9.842105263157901;-4.432631578947359;0.901578947368421;0.9556736842105265;6.2728947368421055;6.649268421052632;0.18421052631578946;6.0
St Etienne;290;98;254.19;269.4414;1087.75;1153.015;-12.348275862068967;-7.089172413793107;0.8765172413793103;0.9291082758620689;3.7508620689655174;3.9759137931034485;0.33793103448275863;6.0
Bordeaux;256;81;222.63;235.98780000000002;943.51;1000.1206000000001;-13.035156250000002;-7.817265624999992;0.8696484375;0.9218273437500001;3.6855859375;3.9067210937500003;0.31640625;6.0
Dijon;180;41;150.60999999999999;159.6466;955.79;1013.1374000000001;-16.327777777777786;-11.30744444444444;0.8367222222222221;0.8869255555555556;5.309944444444445;5.628541111111112;0.22777777777777777;6.0
Guingamp;151;42;125.89;133.4434;624.54;662.0124000000001;-16.629139072847682;-11.626887417218546;0.8337086092715232;0.8837311258278145;4.136026490066225;4.384188079470199;0.2781456953642384;6.0
Ajaccio GFCO;38;8;29.85;31.641000000000002;193.47;205.0782;-21.44736842105263;-16.734210526315785;0.7855263157894737;0.8326578947368422;5.0913157894736845;5.396794736842105;0.21052631578947367;6.0
Amiens;104;25;80.8;85.648;571.75;606.0550000000001;-22.30769230769231;-17.64615384615385;0.7769230769230769;0.8235384615384616;5.497596153846154;5.827451923076923;0.2403846153846154;6.0
Toulouse;286;74;215.11;228.0166;1129.09;1196.8354000000002;-24.786713286713283;-20.27391608391608;0.7521328671328672;0.7972608391608392;3.9478671328671324;4.184739160839161;0.25874125874125875;6.0
Troyes;151;25;100.33;106.3498;845.34;896.0604000000001;-33.556291390728475;-29.569668874172184;0.6644370860927152;0.7043033112582782;5.598278145695365;5.934174834437086;0.16556291390728478;6.0
Nancy;38;9;24.04;25.4824;175.4;185.924;-36.736842105263165;-32.941052631578955;0.6326315789473684;0.6705894736842105;4.61578947368421;4.892736842105263;0.23684210526315788;6.0
